regiao,histogram
1,"{33=67674.65490196079, 3=1155012.4039215685, 4=976901.0274509805, 15=58231.86666666672, 12=1578611.0196078431, 21=4.0, 11=276617.8666666667, 0=533990.0705882354}"
2,"{33=362104.8705882353, 3=1169121.4941176465, 24=4409.0, 4=1728926.3411764703, 15=324839.0078431374, 12=473555.2274509803, 11=1940289.5764705883, 0=27626.501960784328}"
3,"{33=22532.062745098036, 3=903350.7294117648, 24=32.0, 4=1024546.0941176472, 15=27009.47058823529, 12=95827.42745098041, 41=7518.650980392157, 21=3.0, 11=233238.05098039214, 0=285137.40784313745}"
4,"{33=174679.7450980392, 3=2002311.7019607848, 39=47.0, 4=4823406.0, 15=562047.0705882353, 12=1288951.2588235296, 41=886.0, 21=12.0, 11=1292652.2, 0=743754.0823529412}"
5,"{33=706944.3137254894, 3=958168.6000000001, 4=1379460.760784314, 15=111813.54901960783, 12=2222141.5607843134, 21=4.0, 11=1672469.6196078416, 0=261005.2470588234}"
6,"{33=2460998.6039215676, 3=429476.137254902, 4=1156866.4941176474, 15=28745.317647058822, 12=926891.6980392158, 41=8.125490196078431, 11=4185022.6352941175, 0=7008874.054901961}"
7,"{33=25156.84705882353, 3=768129.3921568634, 12=94602.56078431373, 11=776739.7882352942, 4=544627.8549019608, 15=7745.094117647059}"
8,"{33=11093.333333333334, 3=960845.3647058827, 4=550517.4588235293, 15=680526.0392156861, 12=318090.6431372549, 21=2.0, 11=16103.168627450981, 0=409071.5019607841}"
9,"{33=1193319.1607843137, 3=1164837.1843137254, 24=29.0, 4=795135.4901960787, 15=68340.67450980394, 12=1773657.603921569, 21=1.615686274509804, 11=3637569.082352938, 0=34712.184313725484}"
10,"{33=3072231.7176470594, 3=288466.0784313726, 4=691303.7098039216, 15=7852.356862745099, 12=1059242.3686274511, 11=3936612.984313726, 0=1614506.007843137}"
11,"{33=141756.65098039215, 3=709113.3137254904, 12=749744.4862745099, 11=197768.41960784313, 4=475030.1254901961, 15=156171.69803921567}"
12,"{33=2297449.380392157, 3=6096003.788235295, 4=2460939.7254901966, 15=1083467.4705882352, 12=8087183.733333334, 11=3848507.6627450977, 0=447.0}"
13,"{33=389887.937254902, 3=3328702.3529411755, 4=4708667.474509804, 15=312830.8901960784, 12=4930403.878431371, 11=7965201.960784314, 0=499.3019607843136}"
14,"{33=1192103.5999999994, 3=491883.505882353, 24=1081.729411764706, 4=291178.8705882352, 15=4227.027450980392, 12=6792.098039215687, 11=997158.6117647055, 0=581066.321568627}"
15,"{33=1225835.2705882352, 3=6183610.811764705, 24=812.0, 4=1873150.2549019607, 15=149460.14901960787, 12=772549.898039216, 11=5214866.952941178, 0=792.5333333333338}"
16,"{33=94540.2823529412, 3=1109705.411764706, 4=119711.32156862745, 15=138523.97647058824, 12=807302.0745098038, 11=302874.6352941175, 0=2580.98431372549}"
17,"{33=3668514.196078431, 3=2296757.28627451, 12=954328.262745098, 11=6688764.654901962, 4=688984.1333333333, 15=64798.70196078431}"
18,"{33=3694838.3960784324, 3=1395729.8588235292, 4=686281.0588235296, 15=5032.0, 12=199075.27058823532, 11=3239041.6039215694, 0=253719.88235294138}"
