distancia;cota
0.0;455.059539795
31.0576719075;455.052185059
62.115343815;455.046966553
93.1730157226;455.041748047
124.23068763;455.036529541
155.288359538;456.0
186.346031445;456.0
217.403703353;456.0
248.46137526;455.017791748
279.519047168;459.0
310.576719075;459.0
341.634390983;459.0
372.69206289;455.0
403.749734798;456.0
434.807406705;455.0
465.865046275;456.0
496.922685846;457.0
527.980325416;454.0
559.037964986;454.0
590.095604556;452.0
621.153244126;451.053375244
652.210883697;451.050292969
683.268523267;451.045074463
714.326162837;452.0
745.383802407;452.0
776.441441977;454.0
807.499081548;453.0
838.556721118;451.014709473
869.614360688;451.012573242
905.368327233;451.005218506
941.122293778;451.0
976.876260323;451.0
1012.63022687;452.0
1044.41992357;450.0
1076.20962026;449.0
1107.99931696;449.0
1139.78901366;449.0
1171.57871036;453.0
1203.36840705;454.0
1235.15810375;455.0
1266.94780045;456.0
1304.08616378;454.0
1341.2245271;452.0
1378.36289043;451.0
1415.50125376;448.0
1452.63961709;446.034637451
1489.77798041;446.027282715
1526.91634374;446.019927979
1564.05470707;447.0
1601.19307039;446.0
1633.59978452;446.0
1666.00649864;446.0
1698.41321277;448.0
1730.81992689;446.0
1763.22664102;447.0
1795.63335515;445.0
1828.04006927;444.196655273
1860.4467834;444.189300537
1892.85349752;444.184082031
1925.26021165;444.178863525
1957.66692577;444.17578125
1990.0736399;444.170562744
2023.77087327;444.165344238
2057.46810663;444.162261963
2091.16534;444.151824951
2124.86257337;444.148742676
2158.55980674;444.14352417
2192.25704011;444.141387939
2225.95427348;446.0
2259.65150684;447.0
2293.3146692;447.0
2326.97783155;445.0
2360.6409939;444.112213135
2394.30415626;444.104858398
2427.96731861;444.099639893
2461.63048096;445.0
2495.29364331;444.08706665
2528.95680567;444.079711914
2562.61996802;444.074493408
2596.28313037;444.067138672
2629.94629273;444.061920166
2663.60945508;444.05670166
2697.27261743;444.049346924
2730.93577978;444.044128418
2764.59894214;444.036773682
2798.65938535;444.034637451
2832.71982856;444.027282715
2866.78027178;444.025146484
2900.84071499;444.012573242
2934.9011582;444.007354736
2968.96160142;444.0
3003.02204463;445.0
3037.08248784;443.0
3071.14293105;442.0
3105.20337427;441.067138672
3139.26381748;441.059783936
3173.32426069;441.05456543
3207.38470391;441.047210693
3243.35959124;441.041992188
3279.33447858;441.034637451
3315.30936592;441.029418945
3351.28425326;441.022064209
3387.25914059;441.019927979
3423.23402793;441.012573242
3459.20891527;444.0
3495.18380261;441.0
3531.15868994;442.0
3564.12267744;441.0
3597.08666493;440.0
3630.05065243;439.007354736
3663.01463992;440.0
3695.97862741;438.005218506
3728.94261491;438.0
3761.9066024;437.0
3794.87058989;437.0
3827.83457739;438.0
3860.79856488;435.035583496
3893.76255237;435.03036499
3925.18314786;435.025146484
3956.60374335;435.017791748
3988.02433883;435.012573242
4019.44493432;435.007354736
4050.86552981;435.007354736
4082.28612529;435.0
4113.70672078;436.0
4145.12731627;438.0
4176.54791175;435.0
4207.96850724;435.0
4239.38910272;435.0
4270.80969821;435.0
4306.73625162;434.0
4342.66280502;433.007354736
4378.58935843;433.007354736
4414.51591183;436.0
4450.44246524;439.0
4486.36901865;438.0
4522.29557205;433.0
4558.22212546;435.0
4594.14867886;436.0
4631.19020694;438.0
4668.23173502;440.0
4705.2732631;439.0
4742.31479119;441.0
4779.35631927;442.0
4816.39784735;441.0
4853.43937543;441.0
4890.48090351;441.0
4927.52243159;441.0
4964.56395967;439.0
5001.60548775;436.0
5038.64701583;434.0
5072.3434768;433.0
5106.03993777;433.0
5139.73639873;432.0
5173.4328597;431.0
5207.12932067;429.0
5240.82578164;428.02822876
5274.52224261;428.023010254
5308.21870358;428.019927979
5340.68221856;428.012573242
5373.14573355;428.007354736
5405.60924854;430.0
5438.07276352;430.0
5470.53627851;427.0
5502.99979349;427.0
5535.46330848;428.0
5567.92682346;427.0
5600.39033845;427.0
5635.04741697;426.0
5669.70449549;426.0
5704.36157401;424.053375244
5739.01865253;424.048156738
5773.67573105;424.042938232
5815.9279681;424.035583496
5858.18020516;424.02822876
5900.43244222;424.015655518
5942.68467927;425.0
5984.93691633;425.0
6027.18915339;424.0
6069.35292481;420.057403564
6111.51669624;420.054321289
6153.68046767;423.0
6195.8442391;427.0
6227.50250775;425.0
6259.1607764;426.0
6290.81904505;425.0
6322.4773137;426.0
6354.13558236;426.0
6385.79385101;425.0
6417.45211966;423.0
6449.11038831;423.0
6488.39542347;419.05645752
6527.68045863;420.0
6566.96549379;419.043884277
6606.25052895;419.040802002
6645.53556411;419.037719727
6684.82059927;419.032501221
6724.10563443;419.032501221
6763.39066959;419.039855957
6797.13442589;420.0
6830.87818219;421.0
6864.62193849;418.0
6898.3656948;416.0
6932.1094511;416.0
6965.8532074;415.019927979
6999.5969637;415.014709473
7033.34072;416.0
7067.0844763;416.0
7100.8282326;416.0
7134.5719889;414.040802002
7168.39926692;414.035583496
7202.22654493;414.025146484
7236.05382295;414.019927979
7269.88110096;415.0
7303.70837897;416.0
7336.40146842;416.0
7369.09455786;415.0
7401.7876473;414.0
7434.48073675;414.0
7467.17382619;414.0
7499.86691563;414.0
7532.56000507;413.0
7565.25309452;412.084686279
7599.87950297;412.077331543
7634.50591141;412.072113037
7669.13231986;412.064758301
7703.75872831;412.059539795
7738.38513676;412.05645752
7773.01154521;412.051239014
7807.63795366;412.040802002
7842.26436211;412.035583496
7873.37054933;412.03036499
7904.47673656;412.025146484
7935.58292378;412.019927979
7966.68911101;413.0
7997.79529823;412.007354736
8028.90148545;412.0
8060.00767268;411.0
8091.1138599;411.0
8122.22004713;412.0
8153.32623435;411.0
8184.43242158;411.0
8215.5386088;411.0
8246.64479603;410.059783936
8277.75098325;411.0
8308.85717048;413.0
8340.20178763;410.055511475
8371.54640479;410.048156738
8402.89102194;410.037719727
8434.2356391;410.032501221
8465.58025626;410.027282715
8496.92487341;410.022064209
8528.26949057;410.019927979
8559.61410773;411.0
8590.95872488;411.0
8622.30334204;409.017791748
8653.64795919;409.012573242
8684.99257635;409.007354736
8716.33719351;410.0
8747.68181066;412.0
8780.54221219;412.0
8813.40261372;412.0
8846.26301525;412.0
8879.12341678;414.0
8911.98381831;414.0
8944.84421984;408.0
8977.62950056;404.0
9010.41478127;403.014709473
9043.20006198;404.0
9075.98534269;403.0
