distancia;cota
0.0;530.068054199
38.7319251844;532.0
77.4638503688;537.0
116.195775553;540.0
154.927700738;539.0
193.659625922;537.0
232.391551106;535.0
271.123476291;540.0
309.855401475;544.0
348.587326659;544.0
387.319251844;540.0
426.051177028;539.0
464.783102213;536.0
503.515027397;533.0
542.246952581;533.0
580.978877766;531.0
619.71080295;528.005187988
658.442728134;529.0
697.174653319;530.0
735.906578503;527.0
774.638503688;526.0
813.370428872;524.0
852.102354056;524.0
890.834279241;525.0
929.566204425;521.007385254
968.298129609;521.0
1007.03005479;518.0
1045.76197998;517.074829102
1080.86285495;517.069641113
1115.96372992;521.0
1151.06460489;517.061462402
1186.16547986;518.0
1221.26635483;524.0
1256.3672298;524.0
1291.46810477;525.0
1326.56897974;525.0
1361.66985471;525.007385254
1396.77072968;528.0
1431.87160465;530.0
1466.97247962;531.0
1502.07335459;530.0
1537.17422956;532.0
1569.22425094;530.0
1601.27427232;531.0
1633.3242937;533.0
1665.37431508;532.005187988
1697.42433646;532.0
1729.47435784;534.0
1761.52437922;533.0
1793.5744006;533.007385254
1825.62442198;535.0
1857.67444336;536.0
1889.72446474;535.0
1921.77448612;534.0
1953.8245075;534.0
1985.87452888;541.0
2017.92455026;542.0
2049.97457164;541.005187988
2082.02459301;541.007385254
2114.07461439;542.0
2146.12463577;543.0
2176.27491289;544.0
2206.42519;546.0
2236.57546712;546.0
2266.72574423;546.005187988
2296.87602135;546.007385254
2327.02629846;547.0
2357.17657558;548.0
2387.32685269;548.007385254
2417.47712981;548.007385254
2447.62740692;550.0
2477.77768403;551.0
2507.92796115;552.0
2538.07823826;550.0
2568.22851538;549.007385254
2598.37879249;549.0
2628.52906961;549.0
2658.67934672;549.0
2688.82962384;549.0
2718.97990095;550.0
2749.13017807;551.0
2779.28045518;550.0
2809.4307323;548.0
2839.58100941;548.0
2869.73128653;548.0
2899.88156364;548.0
2930.03184075;547.0
2960.18211787;546.0
2990.33239498;546.0
3020.4826721;546.0
3050.63294921;546.0
3080.78322633;546.0
3110.93350344;545.0
3141.08378056;544.0
3171.23405767;543.0
3201.38433479;542.005187988
3231.5346119;542.0
3261.68488902;540.0
3291.83516613;536.0
3321.98544324;535.007385254
3352.13572036;537.0
3382.28599747;536.0
3412.43627459;534.0
3442.5865517;532.0
3472.73682882;531.0
3502.88710593;530.0
3533.03738305;529.0
3563.18766016;526.0
3593.33793728;524.0
3623.48821439;524.0
3653.63849151;523.0
3683.78876862;522.0
3713.93904573;521.005187988
3744.08932285;521.0
3774.23959996;520.0
3804.38987708;519.0
3834.54015419;517.0
3864.69043131;516.007385254
3895.56873801;517.0
3926.44704471;517.0
3957.32535141;516.0
3988.20365812;513.0
4019.08196482;512.0
4049.96027152;512.0
4080.83857822;512.0
4111.71688493;513.0
4142.59519163;511.0
4173.47349833;509.0
4204.35180503;505.0
4235.23011173;505.0
4266.10841844;505.0
4296.98672514;504.0
4327.86503184;502.0
4358.74333854;501.0
4389.62164524;499.0
4420.49995195;499.0
4451.37825865;499.0
4482.25656535;498.0
4513.13487205;496.0
4544.01317876;495.0
4574.89148546;494.0
4605.76979216;494.0
4636.64809886;493.0
4676.44507366;492.005218506
4716.24204846;493.0
4756.03902326;492.0
4795.83599806;489.0
4835.63297286;488.0
4875.42994765;486.0
4915.64667037;484.0
4955.86339309;483.0
4996.08011581;485.0
5036.29683853;489.0
5076.51356125;488.0
5116.73028397;490.0
5156.94700669;488.0
5197.16372941;486.0
5237.38045212;486.0
5277.59717484;484.0
5317.81389756;484.0
5358.03062028;483.0
5398.247343;483.0
5438.46406572;482.025146484
5478.68078844;483.0
5518.89751116;482.007354736
5559.11423388;482.0
5599.33095659;481.0
5639.54767931;475.012573242
5679.76440203;475.005218506
5719.98112475;475.0
5760.19784747;474.014709473
5800.41457019;474.007354736
5840.63129291;474.0
5880.84801563;474.0
5921.06473835;473.017791748
5961.28146106;473.017791748
6001.49818378;474.0
6041.7149065;476.0
6081.93162922;477.0
6120.95610123;476.0
6159.98057325;477.0
6199.00504526;479.0
6238.02951727;477.005218506
6277.05398928;477.005218506
6316.0784613;479.0
6355.10293331;481.0
6394.12740532;482.0
6433.15187733;483.0
6472.17634934;483.0
6511.20082136;482.005218506
6550.22529337;483.0
6589.24976538;483.0
6628.27423739;482.0
6667.29870941;481.0
6706.32318142;484.0
6745.34765343;485.0
6784.37212544;483.0
6823.39659746;482.0
6862.42106947;482.0
6901.44554148;482.0
6940.47001349;481.0
6979.49448551;479.0
7018.51895752;474.0
7057.54342953;475.0
7096.56790154;477.0
7135.59237355;476.0
7167.12040111;474.0
7198.64842866;473.0
7230.17645622;472.0
7261.70448378;471.0
7293.23251133;471.0
7324.76053889;477.0
7356.28856644;488.0
7387.816594;491.0
7419.34462155;484.0
7450.87264911;481.0
7482.40067666;482.0
7513.92870422;482.0
7545.45673177;474.0
7576.98475933;469.039855957
7608.51278688;469.034637451
7640.04081444;469.029418945
7671.56884199;469.036773682
7703.09686955;470.0
7734.6248971;472.0
7766.15292466;471.0
7797.68095221;469.0
7829.20897977;467.0
7860.73700732;468.0
7892.26503488;464.0
7923.79306243;458.0
7955.32108999;450.0
7986.84911754;451.0
8018.3771451;442.0
8049.90517265;440.010437012
8081.43320021;442.0
8112.96122776;443.0
8144.48925532;446.0
8176.01728287;449.0
8207.54531043;448.0
8239.07333798;447.0
8270.60136554;445.0
8302.12939309;445.0
8333.65742065;442.0
8365.1854482;438.0
8396.71347576;434.0
8428.24150331;434.0
8459.76953087;432.0
8491.29755842;431.012573242
8522.82558598;431.007354736
8554.35361353;432.0
8585.88164109;433.0
8617.40966864;433.0
8648.9376962;433.0
8680.46572375;438.0
8711.99375131;437.0
8743.52177886;434.0
8775.04980642;430.0
8806.57783397;423.0
8838.10586153;418.010437012
8869.63388908;419.0
8901.16191664;420.0
8932.68994419;420.0
8969.10034519;418.0
9005.51074618;419.0
9041.92114718;416.0
9078.33154817;417.0
9114.74194917;415.0
9151.15235016;415.0
9187.56275115;410.0
9223.97315215;406.0
9261.37342148;404.0
9298.77369082;400.0
9336.17396016;398.0
9373.57422949;401.0
9410.97449883;397.0
9448.37476816;401.0
9493.44031448;406.0
9551.86614749;415.0
9588.73565864;418.0
9625.60516979;416.0
9662.47468094;416.0
9699.34419208;417.0
9736.21370323;414.0
9773.08321438;416.0
9809.95272553;418.0
9846.82223668;412.0
9883.69174783;410.0
9920.56125898;402.0
9957.43077013;390.0
10000.4150961;383.0
10043.3994222;381.045074463
10086.3837482;382.0
10129.3680742;387.0
10172.3524002;393.0
10215.3367262;398.0
10258.3210522;413.0
10301.3053782;433.0
10344.2897043;439.0
10387.2740303;440.0
10430.2583563;446.0
10464.3561802;442.0
10498.4540041;431.0
10532.5518281;419.0
10566.649652;407.0
10600.7474759;401.005218506
10634.8452998;401.0
10668.9431237;401.0
10703.0409477;399.0
10737.1387716;403.0
10771.2365955;400.0
10805.3344194;402.0
10839.4322433;393.0
10873.5300673;390.0
10907.6278912;396.0
10941.7257151;392.0
10975.823539;393.0
11009.921363;389.0
11044.0191869;390.0
11078.1170108;389.0
11112.2148347;392.0
11146.3126586;386.0
11180.4104826;382.0
11214.5083065;378.0
11248.6061304;381.0
11282.7039543;377.0
11316.8017782;375.0
11350.8996022;373.0
11384.9974261;372.0
11419.09525;371.017791748
11453.1930739;371.014709473
11487.2908978;371.007354736
11521.3887218;372.0
11555.4865457;370.023010254
11589.5843696;370.025146484
11623.6821935;370.019927979
11657.7800175;370.017791748
11691.8778414;371.0
11725.9756653;373.0
11765.6672104;376.0
11805.3587556;379.0
11845.0503007;386.0
11884.7418459;395.0
11924.433391;406.0
11964.1249361;411.0
12003.8164813;414.0
12043.5080264;428.0
12083.1995716;442.0
12122.8911167;451.0
12162.5826619;441.0
12202.274207;406.0
12241.9657521;387.0
12281.6572973;375.0
12321.3488424;370.0
12361.0403876;366.0
12400.7319327;364.0
12440.4234778;362.02822876
12480.115023;362.025146484
12519.8065681;362.022064209
12559.4981133;366.0
12599.1896584;366.0
12638.8812036;365.0
12678.5727487;361.0
12718.2642938;360.171508789
12754.0007398;360.164154053
12789.7371858;361.0
12825.4736317;361.0
12861.2100777;361.0
12896.9465236;360.136871338
12932.6829696;360.131652832
12968.4194155;360.128570557
13004.1558615;360.123352051
13039.8923075;360.120269775
13075.6287534;360.1171875
13111.3651994;360.111968994
13141.9161802;361.0
13172.4671611;360.103668213
13203.0181419;360.098449707
13233.5691228;360.093231201
13264.1201037;360.088012695
13294.6710845;360.088012695
13325.2220654;360.085876465
13355.7730462;360.083740234
13386.3240271;360.081604004
13416.8750079;360.079467773
13447.4259888;360.082550049
13477.9769696;360.080413818
13508.5279505;360.082550049
13539.0789314;360.078521729
13569.6299122;360.073303223
13600.1808931;360.070220947
13630.7318739;360.065002441
13661.2828548;360.059783936
13691.8338356;360.05456543
13722.3848165;360.049346924
13752.9357974;360.049346924
13783.4867782;360.047210693
13814.0377591;360.041992188
13844.5887399;360.039855957
13875.1397208;360.035583496
13905.6907016;361.0
13936.2416825;363.0
13966.7926634;362.0
13997.3436442;360.0
14027.8946251;359.0
14058.4456059;357.0
14088.9965868;353.072357178
14119.5475676;353.070220947
14150.0985485;353.068084717
14180.6495293;354.0
14211.2005102;354.0
14241.7514911;359.0
14272.3024719;361.0
14302.8534528;359.0
14333.4044336;357.007354736
14363.9554145;357.012573242
