"Estacao2","parameter","value"
"1","pH",4.475
"1","DO",7.2
"1","pH",5.65
"1","DO",5.15
"1","pH",6.65
"1","DO",6.425
"1","pH",6.4
"1","DO",6.56
"1","pH",6.05
"1","DO",5.533
"1","pH",5.75
"1","DO",5.825
"1","pH",5.625
"1","DO",6.25
"1","pH",5.833
"1","DO",6.2
"1","pH",5.35
"1","DO",4.3
"1","pH",5.867
"1","DO",5.8
"1","pH",5.375
"1","DO",7.4
"1","pH",5.6
"1","DO",6.45
"1","pH",5.55
"1","DO",6.625
"1","pH",6.033
"1","DO",7.667
"10","pH",7.438
"10","DO",7.312
"10","pH",7.525
"10","DO",5.6
"10","pH",7.537
"10","DO",6.45
"10","pH",7.15
"10","DO",6.21
"10","pH",7.025
"10","DO",5.85
"10","pH",7.433
"10","DO",7.4
"10","pH",7.525
"10","DO",7.213
"10","pH",7.517
"10","DO",6.7
"10","pH",7.425
"10","DO",6.5
"10","pH",7.75
"10","DO",6.633
"10","pH",7.612
"10","DO",7.888
"10","pH",7.625
"10","DO",7.225
"10","pH",7.675
"10","DO",7.263
"10","pH",7.683
"10","DO",8.033
"11","pH",7.925
"11","DO",7.031
"11","pH",8.039
"11","DO",5.75
"11","pH",7.594
"11","DO",5.116
"11","pH",7.852
"11","DO",5.267
"11","pH",7.805
"11","DO",5.761
"11","pH",7.915
"11","DO",6.678
"11","pH",7.713
"11","DO",6.645
"11","pH",7.847
"11","DO",6.587
"11","pH",8
"11","DO",5.885
"11","pH",8.13
"11","DO",7.12
"11","pH",7.812
"11","DO",7.17
"11","pH",7.987
"11","DO",6.91
"11","pH",7.93
"11","DO",7.04
"11","pH",8.06
"11","DO",7.54
"12","pH",8.05
"12","DO",7.025
"12","pH",8.1
"12","DO",5.75
"12","pH",7.675
"12","DO",5.85
"12","pH",7.7
"12","DO",6.26
"12","pH",7.717
"12","DO",6.233
"12","pH",7.867
"12","DO",7.4
"12","pH",7.9
"12","DO",7.075
"12","pH",7.6
"12","DO",6.633
"12","pH",7.95
"12","DO",7.35
"12","pH",8.067
"12","DO",6.467
"12","pH",7.875
"12","DO",7.75
"12","pH",7.95
"12","DO",7.375
"12","pH",7.925
"12","DO",7.15
"12","pH",8.033
"12","DO",8
"13","pH",7.1
"13","DO",4.5
"13","pH",8.6
"13","DO",8.25
"13","pH",7.7
"13","DO",5.85
"13","pH",6.4
"13","DO",6.56
"13","pH",7.417
"13","DO",3.917
"13","pH",7.95
"13","DO",5.7
"13","pH",7.6
"13","DO",4.225
"13","pH",7.1
"13","DO",2.933
"13","pH",7.9
"13","DO",5.9
"13","pH",7.6
"13","DO",3.8
"13","pH",7.6
"13","DO",3.5
"13","pH",7.75
"13","DO",5.225
"13","pH",7.65
"13","DO",3.375
"13","pH",7.6
"13","DO",4.033
"14","pH",6.933
"14","DO",5.367
"14","pH",8.15
"14","DO",6.75
"14","pH",7.65
"14","DO",5.35
"14","pH",7.5
"14","DO",5.5
"14","pH",7
"14","DO",5.1
"14","pH",7.8
"14","DO",7.125
"14","pH",7.275
"14","DO",5.975
"14","pH",6.833
"14","DO",6.033
"14","pH",7.95
"14","DO",6.9
"14","pH",7.667
"14","DO",5.767
"14","pH",7.65
"14","DO",5.975
"14","pH",7.55
"14","DO",6.275
"14","pH",7.475
"14","DO",4.575
"14","pH",7.833
"14","DO",6.133
"15","pH",7
"15","DO",5.575
"15","pH",7.95
"15","DO",5.95
"15","pH",7.4
"15","DO",6.4
"15","pH",6.96
"15","DO",4.56
"15","pH",6.883
"15","DO",5.133
"15","pH",6.95
"15","DO",4.9
"15","pH",7.225
"15","DO",5.15
"15","pH",7.233
"15","DO",5.267
"15","pH",7.75
"15","DO",5.35
"15","pH",7.033
"15","DO",4.3
"15","pH",7.175
"15","DO",4.625
"15","pH",7.25
"15","DO",4.85
"15","pH",6.95
"15","DO",3.9
"15","pH",7.367
"15","DO",4.933
"16","pH",7.438
"16","DO",5.787
"16","pH",8.075
"16","DO",6.25
"16","pH",7.625
"16","DO",6.912
"16","pH",7.26
"16","DO",5.25
"16","pH",7.058
"16","DO",5.192
"16","pH",7.388
"16","DO",5.35
"16","pH",7.35
"16","DO",5.075
"16","pH",7.167
"16","DO",5.517
"16","pH",7.8
"16","DO",5.125
"16","pH",7.217
"16","DO",4.433
"16","pH",7.388
"16","DO",4.95
"16","pH",7.412
"16","DO",4.763
"16","pH",7.312
"16","DO",3.863
"16","pH",7.8
"16","DO",5.083
"17","pH",6.52
"17","DO",4.66
"17","pH",7.25
"17","DO",4.575
"17","pH",7.08
"17","DO",3.54
"17","pH",7.25
"17","DO",4.867
"17","pH",7.525
"17","DO",5.225
"17","pH",7.45
"17","DO",4.55
"17","pH",7.167
"17","DO",5.467
"17","pH",7.7
"17","DO",6
