"","Estacao2","parameter","value"
"1","1","pH",4.475
"2","1","DO",7.2
"3","1","pH",5.65
"4","1","DO",5.15
"5","1","pH",6.65
"6","1","DO",6.425
"7","1","pH",6.4
"8","1","DO",6.56
"9","1","pH",6.05
"10","1","DO",5.533
"11","1","pH",5.75
"12","1","DO",5.825
"13","1","pH",5.625
"14","1","DO",6.25
"15","1","pH",5.833
"16","1","DO",6.2
"17","1","pH",5.35
"18","1","DO",4.3
"19","1","pH",5.867
"20","1","DO",5.8
"21","1","pH",5.375
"22","1","DO",7.4
"23","1","pH",5.6
"24","1","DO",6.45
"25","1","pH",5.55
"26","1","DO",6.625
"27","1","pH",6.033
"28","1","DO",7.667
"29","10","pH",7.438
"30","10","DO",7.312
"31","10","pH",7.525
"32","10","DO",5.6
"33","10","pH",7.537
"34","10","DO",6.45
"35","10","pH",7.15
"36","10","DO",6.21
"37","10","pH",7.025
"38","10","DO",5.85
"39","10","pH",7.433
"40","10","DO",7.4
"41","10","pH",7.525
"42","10","DO",7.213
"43","10","pH",7.517
"44","10","DO",6.7
"45","10","pH",7.425
"46","10","DO",6.5
"47","10","pH",7.75
"48","10","DO",6.633
"49","10","pH",7.612
"50","10","DO",7.888
"51","10","pH",7.625
"52","10","DO",7.225
"53","10","pH",7.675
"54","10","DO",7.263
"55","10","pH",7.683
"56","10","DO",8.033
"57","11","pH",7.925
"58","11","DO",7.031
"59","11","pH",8.039
"60","11","DO",5.75
"61","11","pH",7.594
"62","11","DO",5.116
"63","11","pH",7.852
"64","11","DO",5.267
"65","11","pH",7.805
"66","11","DO",5.761
"67","11","pH",7.915
"68","11","DO",6.678
"69","11","pH",7.713
"70","11","DO",6.645
"71","11","pH",7.847
"72","11","DO",6.587
"73","11","pH",8
"74","11","DO",5.885
"75","11","pH",8.13
"76","11","DO",7.12
"77","11","pH",7.812
"78","11","DO",7.17
"79","11","pH",7.987
"80","11","DO",6.91
"81","11","pH",7.93
"82","11","DO",7.04
"83","11","pH",8.06
"84","11","DO",7.54
"85","12","pH",8.05
"86","12","DO",7.025
"87","12","pH",8.1
"88","12","DO",5.75
"89","12","pH",7.675
"90","12","DO",5.85
"91","12","pH",7.7
"92","12","DO",6.26
"93","12","pH",7.717
"94","12","DO",6.233
"95","12","pH",7.867
"96","12","DO",7.4
"97","12","pH",7.9
"98","12","DO",7.075
"99","12","pH",7.6
"100","12","DO",6.633
"101","12","pH",7.95
"102","12","DO",7.35
"103","12","pH",8.067
"104","12","DO",6.467
"105","12","pH",7.875
"106","12","DO",7.75
"107","12","pH",7.95
"108","12","DO",7.375
"109","12","pH",7.925
"110","12","DO",7.15
"111","12","pH",8.033
"112","12","DO",8
"113","13","pH",7.1
"114","13","DO",4.5
"115","13","pH",8.6
"116","13","DO",8.25
"117","13","pH",7.7
"118","13","DO",5.85
"119","13","pH",6.4
"120","13","DO",6.56
"121","13","pH",7.417
"122","13","DO",3.917
"123","13","pH",7.95
"124","13","DO",5.7
"125","13","pH",7.6
"126","13","DO",4.225
"127","13","pH",7.1
"128","13","DO",2.933
"129","13","pH",7.9
"130","13","DO",5.9
"131","13","pH",7.6
"132","13","DO",3.8
"133","13","pH",7.6
"134","13","DO",3.5
"135","13","pH",7.75
"136","13","DO",5.225
"137","13","pH",7.65
"138","13","DO",3.375
"139","13","pH",7.6
"140","13","DO",4.033
"141","14","pH",6.933
"142","14","DO",5.367
"143","14","pH",8.15
"144","14","DO",6.75
"145","14","pH",7.65
"146","14","DO",5.35
"147","14","pH",7.5
"148","14","DO",5.5
"149","14","pH",7
"150","14","DO",5.1
"151","14","pH",7.8
"152","14","DO",7.125
"153","14","pH",7.275
